id	section	tag	labels	title	observed_gap	requested_outcome	completion_criteria
K-013	Output contracts and schemas	DX	Stellar Wave,dx	Output contracts: document stability levels for text, JSON, and trace outputs	The repo exposes multiple output formats, but users cannot tell which are stable API contracts and which are best-effort human text.	Add a stability table covering terminal output, JSON command output, trace files, snapshots, and replay artifacts.	Each output type has a stability level; breaking-change expectations are stated; release checklist references the policy.
K-014	Output contracts and schemas	DX	Stellar Wave,testing	Output contracts: add schema fixtures for minimal and maximal outputs	Schemas can pass with typical examples while missing optional edge cases.	Add minimal and maximal fixture examples for each schema-backed output.	Fixtures validate against schemas; optional fields are represented at least once; missing required fields fail in tests.
K-015	Output contracts and schemas	DX	Stellar Wave,dx	Output contracts: include `schema_version` in exported artifacts that lack it	Several exported files are consumed outside the immediate CLI run and need explicit version metadata.	Audit exported traces, snapshots, replay bundles, and batch artifacts; add `schema_version` where missing.	Every long-lived exported artifact carries a version; readers reject unsupported major versions clearly; docs list current versions.
K-016	Output contracts and schemas	DX	Stellar Wave,dx	Output contracts: add compatibility tests for reading older fixture versions	Schema evolution needs regression coverage for older artifacts kept in the repo.	Add old-version fixture loading tests for trace, storage, replay, and scenario outputs.	Old fixtures load or fail with documented migration errors; tests name the supported version window; docs mention migration limits.
K-017	Output contracts and schemas	DX	Stellar Wave,testing	Output contracts: make snapshot update workflow discoverable	Snapshot tests exist, but contributors may not know the approved command for refreshing expected output.	Document and/or script the snapshot update flow used for JSON and integration snapshots.	Contributors have one command or documented workflow; CI failure output points to it; docs-only contributors can understand when not to update snapshots.
K-018	Output contracts and schemas	DX	Stellar Wave,dx	Output contracts: add redaction rules for paths and environment values in JSON output	Structured output can leak local paths or tokens if not redacted consistently.	Audit JSON-producing commands and centralize redaction for filesystem paths, environment-derived secrets, and remote tokens.	Sensitive values are redacted in JSON and text output; tests cover representative secrets; users can still opt into verbose diagnostics safely.
K-019	Output contracts and schemas	DX	Stellar Wave,documentation	Output contracts: add examples for consuming JSON with `jq` in CI	The docs describe JSON output but do not show practical automation snippets.	Add short `jq` examples for extracting failures, budget deltas, and artifact paths.	Examples run against checked-in fixtures; docs note stable fields; snippets avoid relying on terminal-only output.
K-020	Output contracts and schemas	DX	Stellar Wave,testing	Output contracts: add round-trip tests for storage snapshot import/export	Storage snapshots are both produced and consumed, so round-trip behavior should be locked down.	Add tests that export a snapshot, re-import it, and compare normalized state.	Round-trip tests cover simple and nested storage; normalization differences are documented; corrupted snapshots fail with clear errors.
K-021	Debugger runtime and stepping	reliability	Stellar Wave,debugger,reliability	Debugger: preserve breakpoint hit context in exported traces	Trace exports show execution flow but may not consistently mark why execution paused.	Add pause-reason metadata for breakpoint hits, conditional breakpoints, step operations, and errors.	Trace entries include pause reason where relevant; existing consumers handle absent fields; docs include one breakpoint trace example.
K-022	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: add regression tests for stepping over host calls	Instruction stepping can behave differently around host calls and contract invocations.	Add focused tests for step-in, step-over, and continue behavior around host call boundaries.	Tests assert instruction pointer movement; host-call frames are represented consistently; failures include useful trace context.
K-023	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: expose current source mapping confidence in session state	When source maps are partial, users need to know whether a displayed source location is exact or heuristic.	Add confidence metadata to source-location reporting and surface it in CLI/extension protocol responses.	Exact, heuristic, and unknown mappings are distinguishable; tests cover missing DWARF/source map cases; docs mention fallback behavior.
K-024	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: add guardrails for infinite continue loops	A session can repeatedly stop at the same breakpoint or error without clear progress.	Detect repeated identical pause states and offer a warning or loop-break hint.	Repeated pause detection is bounded and deterministic; users can continue intentionally; tests cover repeated breakpoints.
K-025	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: record call-stack depth limits in diagnostics	Deep or recursive contracts need predictable handling when stack capture is truncated.	Add diagnostics when stack frames are truncated and document any configured depth limit.	Truncated stacks include an explicit marker; limits are configurable or documented; tests cover truncation.
K-026	Debugger runtime and stepping	performance	Stellar Wave,performance	Debugger: add performance budget tests for trace-heavy sessions	Long trace sessions can regress in memory or runtime without a targeted benchmark.	Add a trace-heavy benchmark or integration test with guardrails for allocations and runtime.	Benchmark inputs are checked in; threshold behavior is documented; regressions produce actionable CI output.
K-027	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: make conditional breakpoint evaluation errors visible	Evaluation failures for conditional breakpoints can look like skipped breakpoints.	Surface parse/evaluation errors with breakpoint id and expression context.	Invalid conditions fail clearly; valid false conditions remain quiet; tests cover parse and runtime errors.
K-028	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: add timeline markers for storage mutations	Timeline views are more useful when storage-changing instructions are easy to identify.	Add storage mutation markers to timeline records and any terminal summary that consumes them.	Storage writes are marked without excessive payload size; filters can include/exclude them; docs mention the marker.
K-029	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: preserve session metadata when replaying a trace	Replay should retain enough metadata to compare the original and replayed session.	Carry command, contract, network, seed, and artifact metadata through replay flows where safe.	Replay output includes original session metadata; sensitive values are redacted; tests cover metadata preservation.
K-030	Debugger runtime and stepping	reliability	Stellar Wave,debugger	Debugger: add deterministic ordering for reported findings	Analyzer and debugger findings should not reorder nondeterministically between identical runs.	Sort findings by stable location, rule, and message keys before output.	Repeated identical runs produce identical ordering; tests cover multiple findings; docs avoid promising semantic priority where only sort order exists.
K-031	Remote and server workflows	reliability	Stellar Wave,reliability	Remote: add protocol version mismatch diagnostics	Remote client/server mismatches need a clear failure mode before debugging starts.	Include both client and server protocol versions in handshake failures and remediation text.	Mismatch errors show expected and actual versions; tests cover unsupported versions; docs include upgrade guidance.
K-032	Remote and server workflows	reliability	Stellar Wave,reliability	Remote: add retry classification for transient transport errors	Remote commands should distinguish retryable transport failures from permanent request errors.	Classify connection reset, timeout, auth, and protocol errors and apply retry policy only where appropriate.	Retryable errors are retried with bounded backoff; permanent errors fail immediately; logs show retry count and reason.
K-033	Remote and server workflows	security	Stellar Wave,security	Remote: redact authorization tokens from debug logs	Remote token handling needs explicit tests to prevent accidental log leaks.	Add tests and centralized redaction for token values in logs, errors, JSON output, and panic paths.	Token literals never appear in captured output; redacted placeholders remain useful; security docs mention the behavior.
K-034	Remote and server workflows	reliability	Stellar Wave,reliability	Remote: add request cancellation tests for interrupted clients	Server-side cancellation behavior should be validated when a client disconnects mid-request.	Add integration tests that disconnect during long-running remote operations and assert cleanup.	Server releases session resources; partial artifacts are removed or marked incomplete; logs show cancellation cause.
K-035	Remote and server workflows	DX	Stellar Wave,documentation	Remote: document local port and firewall troubleshooting in one place	Remote troubleshooting is split across docs and examples, making common networking failures harder to resolve.	Add a concise guide for port binding, loopback restrictions, firewall blocks, and SSH tunnel checks.	Guide links from remote debugging and troubleshooting docs; commands are copyable; CI sandbox caveats are included.
K-036	Remote and server workflows	reliability	Stellar Wave,reliability	Remote: add heartbeat timeout metrics to session summaries	Heartbeat failures are hard to diagnose after the fact.	Record heartbeat interval, missed count, and timeout reason in session summaries.	Summaries include heartbeat data for remote sessions; local sessions are unaffected; tests cover timeout summaries.
K-037	Remote and server workflows	reliability	Stellar Wave,reliability	Remote: make server shutdown idempotent under repeated signals	Signal handling exists, but repeated shutdown signals should not produce double cleanup or noisy errors.	Add tests and guards for repeated SIGINT/SIGTERM during active sessions.	Repeated signals do not panic; cleanup runs once; final logs explain forced vs graceful shutdown.
K-038	Remote and server workflows	DX	Stellar Wave,cli	Remote: add a preflight command for server reachability and auth	Users should be able to check remote reachability before launching a full debug session.	Add a lightweight remote preflight command that validates host, protocol, auth, and capabilities.	Successful preflight lists capabilities; failures are categorized; docs link it from remote setup.
K-039	Remote and server workflows	reliability	Stellar Wave,reliability	Remote: cap concurrent sessions and report capacity errors clearly	The server should fail predictably when concurrency limits are reached.	Add a configurable session limit and a structured capacity error.	Limit is documented; tests cover limit reached and released capacity; error includes retry guidance.
K-040	Remote and server workflows	testing	Stellar Wave,testing	Remote: add fixtures for protocol error responses	Protocol error paths should be testable without live remote infrastructure.	Add protocol-level fixtures for malformed requests, unsupported commands, auth failures, and timeout responses.	Fixtures are used by client tests; protocol docs mention error shape; malformed fixtures fail schema validation.
K-041	Plugin system	reliability	Stellar Wave,reliability	Plugins: add deterministic plugin load ordering	When multiple plugins are configured, load order should be stable and explainable.	Sort plugins by explicit priority and path/name fallback, and document the order.	Identical configs load in the same order; conflicts mention both plugins; tests cover priority and fallback ordering.
K-042	Plugin system	security	Stellar Wave,security	Plugins: validate plugin manifests before any dynamic loading	Manifest errors should be rejected before code loading or execution begins.	Add a manifest validation phase that checks required fields, schema version, command declarations, and sandbox policy.	Invalid manifests fail early; errors include plugin path and field; tests cover missing and unsupported fields.
K-043	Plugin system	reliability	Stellar Wave,reliability	Plugins: expose plugin health in session summaries	Users need to know which plugins loaded, failed, or were disabled during a session.	Add plugin health entries to session summaries and optional JSON output.	Summary lists loaded, skipped, failed, and circuit-broken plugins; sensitive paths are redacted where needed; tests cover each status.
K-044	Plugin system	security	Stellar Wave,security	Plugins: add policy tests for environment variable allowlists	Plugin trust policy mentions environment variables, but allowlist behavior needs executable coverage.	Add tests that verify allowed, denied, and redacted environment variables for plugin execution.	Denied variables are unavailable; logs avoid leaking values; docs include one policy example.
K-045	Plugin system	DX	Stellar Wave,documentation	Plugins: provide a migration guide for manifest schema changes	Plugin authors need upgrade guidance when manifest schema or API versions change.	Add a migration section mapping old fields to new fields and explaining compatibility errors.	Guide covers current schema transitions; compatibility checks link to it; example plugin is updated.
K-046	Plugin system	reliability	Stellar Wave,reliability	Plugins: add timeout diagnostics for slow event handlers	Slow plugin hooks can make the debugger feel hung without clear attribution.	Measure plugin hook duration and report timeout/slow-handler warnings with plugin name and event type.	Timeouts include plugin and hook metadata; thresholds are configurable or documented; tests cover slow handler simulation.
K-047	Plugin system	testing	Stellar Wave,testing	Plugins: add contract tests for custom command registration	Custom commands need stable behavior around names, args, conflicts, and help output.	Add tests for registering commands, rejecting conflicts, and rendering plugin-provided help.	Conflicts fail deterministically; help output includes plugin command metadata; examples stay in sync.
K-048	Plugin system	reliability	Stellar Wave,reliability	Plugins: retain crash reports as structured artifacts	Plugin crash isolation is more useful when crash details can be attached to issues.	Write structured crash artifacts with plugin metadata, event, backtrace availability, and redacted environment details.	Crash artifacts are stored in a documented location; users can disable retention; tests cover redaction and cleanup.
K-049	Plugin system	DX	Stellar Wave,dx	Plugins: add `plugin list` output for installed and configured plugins	Users currently need to inspect config files to understand the active plugin set.	Add a command that lists discovered plugins, configured plugins, load status, and manifest metadata.	Text and JSON outputs are supported; invalid plugins are shown with errors; docs include example output.
K-050	Plugin system	security	Stellar Wave,security	Plugins: document sandbox threat model and non-goals	The sandbox policy should make clear what it protects against and what it does not.	Add a short threat model covering filesystem, environment, network, command execution, and trusted plugin assumptions.	Threat model links from plugin docs; policy examples align with implementation; security limitations are explicit.
K-051	VS Code extension	DX	Stellar Wave,ui	VS Code: add command palette entries for common debugger workflows	Common workflows may require manually editing launch configs or invoking CLI commands outside the extension.	Add command palette actions for validate config, open docs, run preflight, and attach to remote.	Commands appear with consistent names; each reports progress/failure; package manifest and tests are updated.
K-052	VS Code extension	DX	Stellar Wave,ui	VS Code: add quick fixes for missing WASM artifact paths	Launch failures for missing artifacts should offer direct remediation.	Detect missing or invalid artifact paths and offer quick fixes to browse, build fixtures, or update `launch.json`.	Quick fixes update launch config safely; errors remain clear without quick fix support; tests cover missing path diagnostics.
K-053	VS Code extension	reliability	Stellar Wave,ui	VS Code: preserve user breakpoints when source maps refresh	Refreshing source maps or rebuilding contracts should not silently drop breakpoints.	Track breakpoint source identity and remap where possible after source map changes.	Breakpoints survive rebuilds when mapping is still valid; stale breakpoints are marked; tests cover remap and stale cases.
K-054	VS Code extension	DX	Stellar Wave,ui	VS Code: add a session diagnostics export command	When users report extension bugs, maintainers need consistent diagnostics.	Add an export command that collects extension version, CLI version, launch config, recent logs, and redacted paths/tokens.	Export is redacted by default; users choose output location; docs mention attaching it to issues.
K-055	VS Code extension	reliability	Stellar Wave,ui	VS Code: add timeout handling around adapter startup	Adapter startup failures can appear as generic debug launch failures.	Add explicit timeout errors for CLI process startup, protocol handshake, and first stopped event.	Timeout errors name the phase; settings expose timeout values where appropriate; tests simulate slow startup.
K-056	VS Code extension	DX	Stellar Wave,ui	VS Code: show storage snapshot import status in the debug UI	When a launch config uses snapshot input, users should see whether it loaded successfully.	Surface snapshot path, loaded key count, and validation warnings in a debug UI panel or session summary.	Valid snapshots show summary data; invalid snapshots link to errors; no sensitive values are displayed.
K-057	VS Code extension	testing	Stellar Wave,testing	VS Code: add fixture-backed tests for variables view edge cases	Variable rendering can regress for nested values, large vectors, and unavailable source maps.	Add extension tests using checked-in fixtures for nested values, large collections, and missing source context.	Variables display stable labels; pagination/expansion is covered; tests run in the extension CI path.
K-058	VS Code extension	DX	Stellar Wave,ui	VS Code: add remote attach discovery from recent sessions	Remote attach configs are easier to use when recent hosts can be reused.	Store recent remote hosts/workspaces and expose them through a pick list.	Recent entries are bounded; sensitive tokens are never stored; docs mention how to clear history.
K-059	VS Code extension	reliability	Stellar Wave,ui	VS Code: handle CLI binary version drift with an actionable prompt	Extension behavior depends on the installed CLI version.	Detect unsupported or mismatched CLI versions and prompt users to update or select a binary path.	Mismatch prompt includes detected and required versions; users can configure binary path; tests cover version parsing.
K-060	VS Code extension	DX	Stellar Wave,ui	VS Code: add trace viewer filters for event type and contract id	Trace viewing becomes noisy for larger sessions without filtering.	Add filters for event type, contract id, call depth, and errors in the trace viewer.	Filters update without reloading the trace; empty results are clear; tests cover filter state.
K-061	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add a command-to-documentation coverage table	Public commands, manpages, feature docs, and tutorials can drift independently.	Add a table mapping each command to its manpage, reference doc, tutorial, and feature-matrix row.	Every public command has entries or explicit N/A; links are checked; contributor docs explain how to update the table.
K-062	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add troubleshooting entries for malformed WASM artifacts	Users encountering invalid or incompatible WASM need focused remediation guidance.	Add troubleshooting entries for missing exports, invalid custom sections, unsupported metadata, and build-target mismatches.	Entries include symptoms and fixes; inspect docs link to them; examples avoid project-specific paths.
K-063	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add a glossary for Soroban debugger terms	Terms such as trace, replay, snapshot, host call, budget, and source map appear across docs without one canonical glossary.	Add a glossary page and link first-use terms from key docs.	Glossary covers core terms; docs link to it from getting started and architecture; wording stays user-facing.
K-064	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add a maintainer guide for triaging debugger issues	Issue triage depends on consistent labels, reproduction data, and ownership.	Add a maintainer-facing triage guide for bugs, feature requests, docs gaps, and extension reports.	Guide references labels and templates; reproduction checklist is included; contribution docs link to public-facing parts.
K-065	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add a release note checklist for output contract changes	Changes to JSON, trace, and schema outputs need explicit release notes.	Add release checklist steps and examples for documenting output contract changes.	Checklist names affected artifacts; changelog examples are included; CI or PR template asks about output contracts.
K-066	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add an end-to-end CI automation tutorial	CI users need a recipe that runs debug/analyze, captures artifacts, and fails on actionable conditions.	Add a tutorial using GitHub Actions or shell scripts to run debugger commands in CI.	Tutorial includes install, cache, command, artifact upload, and failure examples; commands are tested or fixture-backed.
K-067	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: document supported platforms and shell assumptions	Scripts, manpage tooling, and examples may assume Unix utilities without stating platform expectations.	Add a support matrix for macOS, Linux, Windows, and WSL, including known limitations.	Matrix links from contributing and install docs; Windows-specific caveats are explicit; CI coverage is described.
K-068	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add a guide for minimizing reproducible bug reports	Maintainers need small contracts, fixture artifacts, and command output to reproduce issues quickly.	Add a bug-report minimization guide for reducing contracts, redacting data, and attaching artifacts.	Guide links from issue template; includes commands for collecting versions and artifacts; redaction warnings are included.
K-069	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add diagrams for local, remote, and VS Code debug flows	Architecture docs are text-heavy and make it hard to compare supported flows.	Add lightweight diagrams showing process boundaries, protocol flow, artifacts, and failure points.	Diagrams live in source-controlled docs; captions explain artifacts; links from architecture and VS Code docs are added.
K-070	Documentation and tutorials	DOC	Stellar Wave,documentation	Docs: add a documentation freshness checklist for dependency upgrades	Dependency updates can change CLI behavior, host APIs, or supported contracts without docs updates.	Add a checklist tied to dependency upgrades covering docs, examples, schemas, and fixtures.	Checklist is referenced by contributing docs; examples include `soroban-env-host`; PR template asks about it.
K-071	Tests and CI	testing	Stellar Wave,testing	CI: split fast CLI tests from slower integration and fixture tests	Developers need quick feedback while still keeping full coverage in CI.	Add named test groups or scripts for fast CLI tests, integration tests, fixture rebuild tests, and extension tests.	Docs list which command to run locally; CI names match docs; full test suite still runs before merge.
K-072	Tests and CI	testing	Stellar Wave,ci	CI: add a docs link checker with an allowlist for generated anchors	Docs contain many cross-links and anchors that can drift.	Add a link-check job with explicit allowlist rules for generated or external links.	Broken internal links fail CI; allowlist is documented; generated anchors are handled consistently.
K-073	Tests and CI	testing	Stellar Wave,ci	CI: cache Rust and VS Code dependencies with clear invalidation keys	CI runtime can drift if cache keys are ad hoc or undocumented.	Define cache keys based on lockfiles and toolchain versions for Rust, fixtures, and extension dependencies.	CI logs show cache hit/miss; cache keys change on relevant lockfile updates; docs mention local cache expectations.
K-074	Tests and CI	testing	Stellar Wave,ci	CI: add a job that verifies generated files are committed	Generated manpages, schemas, completions, and extension metadata should not drift from sources.	Add a CI job that regenerates known generated outputs and fails on diff.	Job names generated files; local regeneration command is documented; docs-only changes are not blocked unnecessarily.
K-075	Tests and CI	testing	Stellar Wave,testing	CI: add flaky-test quarantine guidance and tracking	Intermittent tests need a process that preserves visibility instead of silent skips.	Document and enforce a quarantine label or tracking issue requirement for ignored flaky tests.	Ignored tests include tracking references; CI summary lists quarantined tests; contributor docs explain the process.
K-076	Tests and CI	testing	Stellar Wave,testing	CI: add fixture rebuild smoke tests on supported platforms	Fixture build scripts differ by platform and can break outside the main developer machine.	Run a minimal fixture rebuild smoke test on supported OS targets.	Smoke tests cover at least one contract fixture; platform failures include setup guidance; docs link to fixture build instructions.
K-077	Tests and CI	testing	Stellar Wave,ci	CI: publish test artifact summaries for failed integration runs	Failed integration tests are easier to debug when traces, logs, and snapshots are uploaded.	Add artifact upload for failed integration runs with redaction and retention settings.	Artifacts are uploaded only on failure or explicit debug runs; sensitive values are redacted; CI summary links to artifacts.
K-078	Tests and CI	testing	Stellar Wave,testing	CI: add property-test seeds to failure output	Property test failures need reproducible seeds in CI logs.	Ensure every property or randomized test reports seed and replay command on failure.	Failure output includes seed; docs explain rerun command; tests verify seed plumbing where practical.
K-079	Tests and CI	testing	Stellar Wave,ci	CI: enforce minimum supported Rust version explicitly	The repo should state and test its MSRV if downstream users depend on it.	Add an MSRV policy and CI job, or explicitly document that only stable latest is supported.	Policy is documented; CI matches the policy; dependency updates consider MSRV impact.
K-080	Tests and CI	testing	Stellar Wave,ci	CI: add concurrency cancellation for superseded pull request runs	Superseded CI runs can waste minutes and delay feedback.	Add workflow concurrency groups that cancel older runs for the same branch where safe.	PR pushes cancel superseded runs; release/tag workflows are not canceled incorrectly; workflow docs mention the behavior.
K-081	Examples and fixtures	DX	Stellar Wave,examples	Examples: add a minimal contract intentionally missing debug symbols	Source-map fallback behavior needs an example users can inspect.	Add an example WASM/contract or fixture built without debug symbols and document expected debugger behavior.	Example is reproducible; tests cover fallback output; docs link from source-level debugging.
K-082	Examples and fixtures	DX	Stellar Wave,examples	Examples: add a cross-contract failure fixture with mock isolation	Cross-contract debugging is hard to learn without a focused failing example.	Add a fixture showing a cross-contract call failure and how mocks isolate the dependency.	Example includes expected failure and fixed path; docs link to it; tests keep fixture behavior stable.
K-083	Examples and fixtures	DX	Stellar Wave,examples	Examples: add a large storage snapshot fixture for pagination and filtering	Storage UI and CLI filtering need realistic large-state examples.	Add a generated large snapshot fixture with documented shape and regeneration command.	Fixture stays small enough for git; tests use it for pagination/filtering; docs explain the dataset.
K-084	Examples and fixtures	DX	Stellar Wave,examples	Examples: add an oracle contract scenario that demonstrates stale data debugging	The oracle example has tests, but a debugger scenario would show time-sensitive state behavior.	Add a scenario file and tutorial notes for debugging stale oracle prices.	Scenario runs from documented command; trace shows stale-data branch; docs link from scenario cookbook.
K-085	Examples and fixtures	DX	Stellar Wave,examples	Examples: add failure-oriented snapshots for auth errors	Auth debugging is easier with artifacts that reproduce common authorization failures.	Add snapshots/fixtures for missing authorization, wrong invoker, and repeated auth attempts.	Fixtures are documented; tests assert expected error classes; tutorial references the fixtures.
K-086	Examples and fixtures	DX	Stellar Wave,examples	Examples: add a benchmark fixture that exercises budget-heavy loops	Performance docs and benchmarks should share a reproducible workload.	Add or document a fixture that intentionally stresses CPU/memory budgets.	Benchmark uses the fixture; docs explain expected budget profile; guardrails prevent excessive runtime.
K-087	Examples and fixtures	DX	Stellar Wave,examples	Examples: add plugin examples for command, event, and policy hooks	The current example plugin should demonstrate each supported extension point clearly.	Add separate or expanded examples for custom commands, event hooks, and sandbox policy.	Each example has README instructions; plugin tests cover them; plugin docs link to the examples.
K-088	Examples and fixtures	DX	Stellar Wave,examples	Examples: add a fixture manifest validator for artifact metadata	The fixture manifest should be checked for stale paths, hashes, and expected exports.	Add a validation command or test that verifies every manifest entry points to a valid artifact and metadata.	Invalid manifest entries fail with clear messages; hashes are checked; docs describe updating the manifest.
K-089	Examples and fixtures	DX	Stellar Wave,examples	Examples: add end-to-end replay artifacts for a known regression	Replay documentation benefits from a checked-in artifact that demonstrates the full workflow.	Add a small replay bundle and expected replay output for a fixed regression.	Replay artifact is versioned; tests ensure it still loads; docs use it as the canonical replay example.
K-090	Examples and fixtures	DX	Stellar Wave,examples	Examples: document which examples are safe for quick CI runs	Some examples may be too slow or environment-sensitive for every PR.	Add metadata or docs classifying examples as quick, integration, benchmark, or manual.	Example index includes category and runtime expectation; CI scripts use the category; contributors know where to add new examples.
K-091	Security, reliability, and performance	security	Stellar Wave,security	Security: add a secret-scanning checklist for debug artifacts	Debug artifacts can include user inputs, storage values, environment details, or tokens.	Add a checklist and redaction tests for artifacts produced by debug, remote, replay, and extension flows.	Known sensitive fields are redacted; docs warn users before sharing artifacts; tests cover representative secrets.
K-092	Security, reliability, and performance	security	Stellar Wave,security	Security: add dependency audit guidance for release preparation	Release prep should include dependency vulnerability checks with documented triage.	Add release checklist steps for `cargo audit` or chosen audit tooling and npm audit handling.	Commands and triage rules are documented; failures have waiver guidance; release docs identify responsible owner.
K-093	Security, reliability, and performance	reliability	Stellar Wave,reliability	Reliability: add bounded cleanup for temporary files after failed runs	Failed runs can leave temporary artifacts or partial exports without clear cleanup behavior.	Audit temp-file creation and ensure cleanup or explicit retention messaging.	Temp files are cleaned on normal failure; retained files are listed; tests cover interrupted export paths where practical.
K-094	Security, reliability, and performance	performance	Stellar Wave,performance	Performance: add benchmark baselines for source-map loading	Source-map loading can affect startup time, especially in extension workflows.	Add a benchmark and baseline threshold for loading common source-map sizes.	Benchmark uses checked-in fixtures; regression threshold is documented; output names the affected size class.
K-095	Security, reliability, and performance	performance	Stellar Wave,performance	Performance: add memory guardrails for large trace rendering	Large traces can degrade CLI, TUI, or extension rendering.	Add stress tests or benchmarks for rendering large traces with bounded memory expectations.	Renderer handles large traces without unbounded growth; docs mention practical limits; failures identify the rendering path.
K-096	Security, reliability, and performance	reliability	Stellar Wave,reliability	Reliability: add panic boundary tests for public command handlers	Public commands should return structured errors rather than panicking on malformed input.	Add panic-boundary tests around high-risk command handlers and malformed fixtures.	Malformed inputs fail without panic; error messages identify input cause; panic hook behavior stays useful for internal bugs.
